-1,0,0.0000000000,0.2372042000,3.1201000000
0,1,-0.8225830000,-0.3591645000,-0.0003437574
0,2,0.8225830000,-0.3591645000,0.0178612200
1,3,-0.0000000207,1.3395600000,-0.0000000271
2,4,-0.0000000442,1.3405050000,0.0000000214
3,5,-0.0000000461,0.9607878000,-0.0000000149
4,6,0.0000000037,0.9615130000,0.0000000559
0,7,0.0000000000,0.6479497000,-0.1089637000
7,8,0.0000000000,0.7665566000,0.0000000298
51,9,0.0000000000,0.9855708000,-0.0000000894
9,10,0.0000000000,0.5400067000,0.2514629000
51,11,-0.5552440000,0.8069848000,-0.0314463100
51,12,0.5552440000,0.8065223000,-0.0286957300
11,13,-0.0000001043,1.1740460000,-0.0000005513
12,14,0.0000000373,1.1740460000,0.0000002533
13,15,0.0000000000,0.9005063000,-0.0000000596
14,16,0.0000000000,0.9027461000,-0.0000000894
15,17,-0.0000000075,1.4152280000,-0.0000003725
16,18,-0.0000000522,1.4158590000,0.0000004321
5,19,-0.0000004531,0.8293449000,-0.0000001527
6,20,0.0000002012,0.8345809000,-0.0000000596
17,24,0.2691427000,0.1672223000,0.1534307000
21,25,0.0633014700,0.2744372000,-0.0000000820
22,26,-0.0327992300,0.2390807000,-0.0000004321
17,27,0.3093528000,0.6067067000,-0.0042630060
24,28,-0.0001504254,0.2844246000,-0.0000013411
25,29,-0.0001234729,0.2589201000,0.0000011344
17,30,0.1088142000,0.6167463000,-0.0096241460
27,31,0.0004492849,0.2852976000,-0.0000005625
28,32,-0.0000088811,0.2864698000,0.0000002161
17,33,-0.1057029000,0.6189353000,-0.0196088000
30,34,0.0002356470,0.2773955000,-0.0000001118
31,35,0.0001356229,0.2621732000,-0.0000001565
17,36,-0.3124641000,0.5461511000,0.0085173920
33,37,0.0004604459,0.2537054000,-0.0000003576
34,38,0.0001170337,0.2069922000,0.0000005923
18,39,-0.2733602000,0.1721702000,0.1653094000
36,40,-0.0521443500,0.2855972000,-0.0000002980
37,41,0.0397926400,0.2246194000,-0.0000005960
18,42,-0.3108028000,0.6157896000,-0.0049556330
39,43,0.0001927949,0.2820157000,-0.0000011530
40,44,0.0002861219,0.2559353000,0.0000008885
18,45,-0.1070686000,0.6256238000,-0.0068199600
42,46,-0.0001264513,0.2841186000,-0.000000